geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,44.8294641,41.801126,Feature,[],,,,,,,[],BitFury,,Georgia,[],,078c43d8-b62b-11e5-ad0b-02b4d6763261,[],,Tbilisi,[],,,,,
Point,-0.1019089000000121,5.8069554,Feature,[],,,,,,,[],MainOne,,Ghana,[],600.0,2b90de23-9194-4d14-8fa9-b5290b96b541,[],300.0,Appolonia,[],,,,,
Point,-0.2060613,5.542260799999998,Feature,[],,,,,0,1,[],Digital Realty Trust,,Ghana,[],6000.0,61be07b2-4447-47e9-8293-fe0ebbd458d4,[],1000.0,Accra,[],,,,,
Point,-0.110304,5.766150999999999,Feature,[],,,,,2,4,[],"Ngoya ETIX DC (Ghana) Limited ( trading as "" ONIX"") ",,Ghana,[],1000.0,83bc39a3-adfd-4461-9cf5-d1ff45d96b11,[],400.0,Onix Accra,[],,,,,
Point,-0.2100247768432837,5.57162888555143,Feature,"[""GCore"", ""Fastly""]",,,,"PCI-DSS, ISO 27001",0,1,[],PAIX Data Centres,2010-12-30 23:00:00,Ghana,"[""Ecoband"", ""GLO-1"", ""Vodacom"", ""MTN"", ""Main One"", ""Internet Solutions"", ""Csquared"", ""AirtelTigo""]",2500.0,a869b590-e142-11e6-b3e5-06956ebfd90b,"[""Accra-IX"", ""GIX""]",846.0,Accra,"[""AirtelTigo"", ""Vodafone"", ""MTN"", ""Knet"", ""Zipnet"", ""Isocel Telecom"", ""Internet Ghana"", ""CMC Networks"", ""Vobiss"", ""VTS"", ""Teledata ICT"", ""PCCW Global"", ""MTN International Carrier Services"", ""MainOne"", ""Internet Solutions, South Africa"", ""Glo"", ""Gilat"", ""Ecoband"", ""Dolphin Telecom"", ""Comsys"", ""China Telecom"", ""BusyInternet"", ""AngolaCables"", ""Alink Telecom"", ""Afr-ix""]",2011-03-29 22:00:00,2011-03-29 22:00:00,2010-12-30 23:00:00,29-03-2011,30-12-2010
Point,-0.1814497782653461,5.625797583665844,Feature,[],,,,,,,[],MTN,,Ghana,[],400.0,b69fc1af-1613-439a-9d2c-88482d0691c8,[],200.0,MTN Accra,[],,,,,
Point,-0.1046688630050312,5.759428110728162,Feature,[],,,,,0,1,[],Etix Everywhere,2016-12-30 23:00:00,Ghana,[],,d32b0583-16dd-4c83-9e50-ff3fa2293ee2,[],440.0, Etix Accra #1,[],2018-12-29 23:00:00,2018-12-29 23:00:00,2016-12-30 23:00:00,29-12-2018,30-12-2016
Point,-0.2050620876968878,5.558167072693614,Feature,[],,,,,,,[],Millicom (Tigo),,Ghana,[],,bbe596ca-c417-4b7f-aada-61b06d368f70,[],200.0,Accra,[],,,,,
Point,-0.2033706986724155,5.542075521258955,Feature,[],,,,,0,1,[],ACE (African Coast to Europe),,Ghana,[],,417cca08-199e-4e20-93df-defdbc81eb6a,[],,CLS Accra,[],,,,,
Point,-0.202882536631705,5.542230362165333,Feature,[],,,,,0,1,[],SAT-3,,Ghana,[],,b785fbd1-f439-4109-9c3f-7447a173bcd0,[],,CLS Ghana,[],,,,,
Point,-0.1689388372955136,5.552470915045385,Feature,[],,,,,,,[],WACS (West Africa Cable System),,Ghana,[],,d1e53f0b-d10f-4d8e-9b2f-7baf59d5a6fe,[],,CLS Accra,[],,,,,
Point,-0.180178411192287,5.550796404159893,Feature,[],,,,,,,[],Globacom Limited,,Ghana,[],,451ee894-9d0a-4794-9924-d1cddead041f,[],,CLS Accra,[],,,,,
Point,-0.2069689999999582,5.541325,Feature,[],,,,,,,[],Barclays,,Ghana,[],,ff94182f-e4d3-462a-afe3-2b34fa6b1a94,[],,Accra,[],,,,,
Point,-0.2028033999999934,5.5543841,Feature,[],,,,,,,[],CenterServ,,Ghana,[],,6a1b8fac-0415-48e6-b4fa-ea73dc613c13,[],,Accra,[],,,,,
